;Class;gt;eval;t_start;t_end
0;bicycle;21.0;18;08:30:00;08:35:00
1;person;2.0;6;08:30:00;08:35:00
2;car;1.0;1;08:30:00;08:35:00
3;bicycle;29.0;30;08:35:00;08:40:00
4;person;8.0;8;08:35:00;08:40:00
5;motorcycle;0.0;1;08:35:00;08:40:00
6;bicycle;20.0;17;08:40:00;08:45:00
7;person;14.0;16;08:40:00;08:45:00
8;motorcycle;0.0;1;08:40:00;08:45:00
