Class;gt;eval;rp;fp;fn
bicycle;10;3.0;3.0;0.0;7.0
bus;9;10.0;8.0;2.0;1.0
car;190;184.0;176.0;8.0;14.0
motorcycle;4;4.0;3.0;1.0;1.0
person;105;110.0;90.0;20.0;15.0
truck;5;3.0;3.0;0.0;2.0
